Response_ID,Trial,Rating
R_110kA4SMeopLDcU,Neg C C_1,0
R_110kA4SMeopLDcU,Neg P D_1,0
R_110kA4SMeopLDcU,Neg M B_1,0
R_110kA4SMeopLDcU,Aff C D_1,0
R_110kA4SMeopLDcU,Aff P E_1,0
R_110kA4SMeopLDcU,Aff P B_1,8
R_110kA4SMeopLDcU,Aff C A_1,18
R_110kA4SMeopLDcU,Neg 0 A_1,71
R_110kA4SMeopLDcU,Aff 0 C_1,79
R_110kA4SMeopLDcU,Neg 0 E_1,100
R_1BbbYxPROtFY9BG,Neg M E_1,0
R_1BbbYxPROtFY9BG,Neg P C_1,0
R_1BbbYxPROtFY9BG,Aff 0 E_1,0
R_1BbbYxPROtFY9BG,Aff P D_1,0
R_1BbbYxPROtFY9BG,Aff M C_1,0
R_1BbbYxPROtFY9BG,Aff 0 B_1,8
R_1BbbYxPROtFY9BG,Neg M A_1,10
R_1BbbYxPROtFY9BG,Neg 0 D_1,15
R_1BbbYxPROtFY9BG,Neg C B_1,50
R_1BbbYxPROtFY9BG,Aff P A_1,85
R_1CJyoT5URNjaKxq,Neg C A_1,40
R_1CJyoT5URNjaKxq,Neg P B_1,41
R_1CJyoT5URNjaKxq,Aff M B_1,42
R_1CJyoT5URNjaKxq,Neg 0 C_1,53
R_1CJyoT5URNjaKxq,Neg C E_1,54
R_1CJyoT5URNjaKxq,Aff M E_1,55
R_1CJyoT5URNjaKxq,Neg M D_1,60
R_1CJyoT5URNjaKxq,Aff 0 D_1,60
R_1CJyoT5URNjaKxq,Aff 0 A_1,74
R_1CJyoT5URNjaKxq,Aff C C_1,75
R_1EMtnby9Ob4EB08,Neg 0 C_1,4
R_1EMtnby9Ob4EB08,Neg C E_1,8
R_1EMtnby9Ob4EB08,Aff C C_1,8
R_1EMtnby9Ob4EB08,Neg C A_1,8
R_1EMtnby9Ob4EB08,Aff M E_1,18
R_1EMtnby9Ob4EB08,Neg M D_1,50
R_1EMtnby9Ob4EB08,Aff M B_1,58
R_1EMtnby9Ob4EB08,Aff 0 A_1,60
R_1EMtnby9Ob4EB08,Neg P B_1,68
R_1EMtnby9Ob4EB08,Aff 0 D_1,70
R_1ghGDLnSdMX5zk7,Neg 0 B_1,10
R_1ghGDLnSdMX5zk7,Aff C B_1,12
R_1ghGDLnSdMX5zk7,Neg P E_1,28
R_1ghGDLnSdMX5zk7,Aff P C_1,29
R_1ghGDLnSdMX5zk7,Neg M C_1,35
R_1ghGDLnSdMX5zk7,Neg C D_1,50
R_1ghGDLnSdMX5zk7,Aff M A_1,70
R_1ghGDLnSdMX5zk7,Aff C E_1,86
R_1ghGDLnSdMX5zk7,Aff M D_1,92
R_1ghGDLnSdMX5zk7,Neg P A_1,97
R_1kIFbzhfuHInJqw,Neg P C_1,15
R_1kIFbzhfuHInJqw,Aff P A_1,31
R_1kIFbzhfuHInJqw,Neg 0 D_1,36
R_1kIFbzhfuHInJqw,Neg M E_1,62
