Response_ID,Trial,Rating
R_14pV1oV7nEcZ8G1,Neg C C_1,0
R_14pV1oV7nEcZ8G1,Aff 0 C_1,0
R_14pV1oV7nEcZ8G1,Neg P D_1,0
R_14pV1oV7nEcZ8G1,Neg M B_1,3
R_14pV1oV7nEcZ8G1,Neg 0 E_1,10
R_14pV1oV7nEcZ8G1,Aff P B_1,75
R_14pV1oV7nEcZ8G1,Aff M D_1,90
R_14pV1oV7nEcZ8G1,Neg 0 A_1,98
R_14pV1oV7nEcZ8G1,Aff C A_1,99
R_14pV1oV7nEcZ8G1,Aff M E_1,100
R_1CiSa3negdTVooR,Neg P E_1,0
R_1CiSa3negdTVooR,Aff 0 B_1,0
R_1CiSa3negdTVooR,Neg P C_1,0
R_1CiSa3negdTVooR,Neg M A_1,0
R_1CiSa3negdTVooR,Neg C B_1,0
R_1CiSa3negdTVooR,Aff C D_1,72
R_1CiSa3negdTVooR,Aff M C_1,99
R_1CiSa3negdTVooR,Aff P A_1,100
R_1CiSa3negdTVooR,Aff C E_1,100
R_1CiSa3negdTVooR,Neg 0 D_1,100
R_1E0CX3I9xb3W7rH,Neg C C_1,0
R_1E0CX3I9xb3W7rH,Aff 0 C_1,0
R_1E0CX3I9xb3W7rH,Neg P D_1,0
R_1E0CX3I9xb3W7rH,Neg M B_1,0
R_1E0CX3I9xb3W7rH,Aff C A_1,100
R_1E0CX3I9xb3W7rH,Neg 0 E_1,100
R_1E0CX3I9xb3W7rH,Aff P B_1,100
R_1E0CX3I9xb3W7rH,Aff M D_1,100
R_1E0CX3I9xb3W7rH,Neg 0 A_1,100
R_1E0CX3I9xb3W7rH,Aff M E_1,100
R_1e2MmlbPEcQICp0,Neg P A_1,5
R_1e2MmlbPEcQICp0,Neg C E_1,8
R_1e2MmlbPEcQICp0,Aff 0 E_1,8
R_1e2MmlbPEcQICp0,Neg P B_1,9
R_1e2MmlbPEcQICp0,Neg M D_1,12
R_1e2MmlbPEcQICp0,Neg 0 C_1,18
R_1e2MmlbPEcQICp0,Aff M B_1,30
R_1e2MmlbPEcQICp0,Aff 0 A_1,66
R_1e2MmlbPEcQICp0,Aff P C_1,71
R_1e2MmlbPEcQICp0,Aff P D_1,79
R_1I9Rqhy5UTHqoNY,Neg M C_1,0
R_1I9Rqhy5UTHqoNY,Aff 0 D_1,0
R_1I9Rqhy5UTHqoNY,Neg C A_1,0
R_1I9Rqhy5UTHqoNY,Neg C D_1,0
R_1I9Rqhy5UTHqoNY,Neg M E_1,0
R_1I9Rqhy5UTHqoNY,Aff M A_1,81
R_1I9Rqhy5UTHqoNY,Neg 0 B_1,100
R_1I9Rqhy5UTHqoNY,Aff C B_1,100
R_1I9Rqhy5UTHqoNY,Aff C C_1,100
R_1I9Rqhy5UTHqoNY,Aff P E_1,100
