"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"baseline1","baseline1_001","Neg C C_1",0,"negative",,,"conflated","C","paper","1",,47.9310847873161,,TRUE,
"baseline1","baseline1_001","Aff 0 C_1",0,"affirmative",,,"no_motion","C","paper","1",,47.9310847873161,,TRUE,
"baseline1","baseline1_001","Neg P D_1",0,"negative",,,"path","D","plank","1",,47.9310847873161,,TRUE,
"baseline1","baseline1_001","Neg M B_1",3,"negative",,,"manner","B","car","1",,47.9310847873161,,TRUE,
"baseline1","baseline1_001","Neg 0 E_1",10,"negative",,,"no_motion","E","chair","1",,47.9310847873161,,TRUE,
"baseline1","baseline1_001","Aff P B_1",75,"affirmative",,,"path","B","car","1",,47.9310847873161,,TRUE,
"baseline1","baseline1_001","Aff M D_1",90,"affirmative",,,"manner","D","plank","1",,47.9310847873161,,TRUE,
"baseline1","baseline1_001","Neg 0 A_1",98,"negative",,,"no_motion","A","leaf","1",,47.9310847873161,,TRUE,
"baseline1","baseline1_001","Aff C A_1",99,"affirmative",,,"conflated","A","leaf","1",,47.9310847873161,,TRUE,
"baseline1","baseline1_001","Aff M E_1",100,"affirmative",,,"manner","E","chair","1",,47.9310847873161,,TRUE,
"baseline1","baseline1_002","Neg P E_1",0,"negative",,,"path","E","chair","1",,50.3332229579364,,TRUE,
"baseline1","baseline1_002","Aff 0 B_1",0,"affirmative",,,"no_motion","B","car","1",,50.3332229579364,,TRUE,
"baseline1","baseline1_002","Neg P C_1",0,"negative",,,"path","C","paper","1",,50.3332229579364,,TRUE,
"baseline1","baseline1_002","Neg M A_1",0,"negative",,,"manner","A","leaf","1",,50.3332229579364,,TRUE,
"baseline1","baseline1_002","Neg C B_1",0,"negative",,,"conflated","B","car","1",,50.3332229579364,,TRUE,
"baseline1","baseline1_002","Aff C D_1",72,"affirmative",,,"conflated","D","plank","1",,50.3332229579364,,TRUE,
"baseline1","baseline1_002","Aff M C_1",99,"affirmative",,,"manner","C","paper","1",,50.3332229579364,,TRUE,
"baseline1","baseline1_002","Aff P A_1",100,"affirmative",,,"path","A","leaf","1",,50.3332229579364,,TRUE,
"baseline1","baseline1_002","Aff C E_1",100,"affirmative",,,"conflated","E","chair","1",,50.3332229579364,,TRUE,
"baseline1","baseline1_002","Neg 0 D_1",100,"negative",,,"no_motion","D","plank","1",,50.3332229579364,,TRUE,
"baseline1","baseline1_003","Neg C C_1",0,"negative",,,"conflated","C","paper","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_003","Aff 0 C_1",0,"affirmative",,,"no_motion","C","paper","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_003","Neg P D_1",0,"negative",,,"path","D","plank","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_003","Neg M B_1",0,"negative",,,"manner","B","car","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_003","Aff C A_1",100,"affirmative",,,"conflated","A","leaf","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_003","Neg 0 E_1",100,"negative",,,"no_motion","E","chair","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_003","Aff P B_1",100,"affirmative",,,"path","B","car","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_003","Aff M D_1",100,"affirmative",,,"manner","D","plank","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_003","Neg 0 A_1",100,"negative",,,"no_motion","A","leaf","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_003","Aff M E_1",100,"affirmative",,,"manner","E","chair","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_004","Neg P A_1",5,"negative",,,"path","A","leaf","1",,29.5830281674401,,TRUE,
"baseline1","baseline1_004","Neg C E_1",8,"negative",,,"conflated","E","chair","1",,29.5830281674401,,TRUE,
"baseline1","baseline1_004","Aff 0 E_1",8,"affirmative",,,"no_motion","E","chair","1",,29.5830281674401,,TRUE,
"baseline1","baseline1_004","Neg P B_1",9,"negative",,,"path","B","car","1",,29.5830281674401,,TRUE,
