"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"baseline2","baseline2_001","Neg C C_1",0,"negative",,"conflated",,"C","paper","1",,39.5142730893253,,TRUE,
"baseline2","baseline2_001","Neg P D_1",0,"negative",,"path",,"D","plank","1",,39.5142730893253,,TRUE,
"baseline2","baseline2_001","Neg M B_1",0,"negative",,"manner",,"B","car","1",,39.5142730893253,,TRUE,
"baseline2","baseline2_001","Aff C D_1",0,"affirmative",,"conflated",,"D","plank","1",,39.5142730893253,,TRUE,
"baseline2","baseline2_001","Aff P E_1",0,"affirmative",,"path",,"E","chair","1",,39.5142730893253,,TRUE,
"baseline2","baseline2_001","Aff P B_1",8,"affirmative",,"path",,"B","car","1",,39.5142730893253,,TRUE,
"baseline2","baseline2_001","Aff C A_1",18,"affirmative",,"conflated",,"A","leaf","1",,39.5142730893253,,TRUE,
"baseline2","baseline2_001","Neg 0 A_1",71,"negative",,"none",,"A","leaf","1",,39.5142730893253,,TRUE,
"baseline2","baseline2_001","Aff 0 C_1",79,"affirmative",,"none",,"C","paper","1",,39.5142730893253,,TRUE,
"baseline2","baseline2_001","Neg 0 E_1",100,"negative",,"none",,"E","chair","1",,39.5142730893253,,TRUE,
"baseline2","baseline2_002","Neg M E_1",0,"negative",,"manner",,"E","chair","1",,28.4636220073584,,TRUE,
"baseline2","baseline2_002","Neg P C_1",0,"negative",,"path",,"C","paper","1",,28.4636220073584,,TRUE,
"baseline2","baseline2_002","Aff 0 E_1",0,"affirmative",,"none",,"E","chair","1",,28.4636220073584,,TRUE,
"baseline2","baseline2_002","Aff P D_1",0,"affirmative",,"path",,"D","plank","1",,28.4636220073584,,TRUE,
"baseline2","baseline2_002","Aff M C_1",0,"affirmative",,"manner",,"C","paper","1",,28.4636220073584,,TRUE,
"baseline2","baseline2_002","Aff 0 B_1",8,"affirmative",,"none",,"B","car","1",,28.4636220073584,,TRUE,
"baseline2","baseline2_002","Neg M A_1",10,"negative",,"manner",,"A","leaf","1",,28.4636220073584,,TRUE,
"baseline2","baseline2_002","Neg 0 D_1",15,"negative",,"none",,"D","plank","1",,28.4636220073584,,TRUE,
"baseline2","baseline2_002","Neg C B_1",50,"negative",,"conflated",,"B","car","1",,28.4636220073584,,TRUE,
"baseline2","baseline2_002","Aff P A_1",85,"affirmative",,"path",,"A","leaf","1",,28.4636220073584,,TRUE,
"baseline2","baseline2_003","Neg C A_1",40,"negative",,"conflated",,"A","leaf","1",,12.4917750718,,TRUE,
