"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"exp1","exp1_150","Neg P 0 A_1",100,"negative","path",,"no_motion","A","leaf","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_150","Aff P P D_1",100,"affirmative","path",,"path","D","plank","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_150","Aff M C A_1",95,"affirmative","manner",,"conflated","A","leaf","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_150","Aff P C B_1",93,"affirmative","path",,"conflated","B","car","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_150","Aff C C B_1",92,"affirmative","conflated",,"conflated","B","car","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_150","Aff C P C_1",77,"affirmative","conflated",,"path","C","paper","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_150","Neg M M E_1",0,"negative","manner",,"manner","E","chair","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_150","Neg P M D_1",0,"negative","path",,"manner","D","plank","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_150","Neg C M B_1",0,"negative","conflated",,"manner","B","car","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_150","Aff C 0 C_1",0,"affirmative","conflated",,"no_motion","C","paper","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_150","Neg M C E_1",0,"negative","manner",,"conflated","E","chair","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_150","Aff M 0 D_1",0,"affirmative","manner",,"no_motion","D","plank","1","path_before_manner",48.8159033947178,15.6688186742463,TRUE,
"exp1","exp1_149","Aff M M E_1",100,"affirmative","manner",,"manner","E","chair","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_149","Neg M 0 B_1",80,"negative","manner",,"no_motion","B","car","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_149","Aff P M B_1",75,"affirmative","path",,"manner","B","car","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_149","Aff P 0 D_1",65,"affirmative","path",,"no_motion","D","plank","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_149","Aff C M D_1",60,"affirmative","conflated",,"manner","D","plank","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_149","Neg M P C_1",60,"negative","manner",,"path","C","paper","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_149","Aff M P C_1",55,"affirmative","manner",,"path","C","paper","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_149","Neg C C A_1",0,"negative","conflated",,"conflated","A","leaf","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_149","Neg C 0 C_1",0,"negative","conflated",,"no_motion","C","paper","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_149","Neg P C E_1",0,"negative","path",,"conflated","E","chair","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_149","Neg P P E_1",0,"negative","path",,"path","E","chair","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_149","Neg C P A_1",0,"negative","conflated",,"path","A","leaf","1","path_before_manner",38.2054850893048,15.6688186742463,TRUE,
"exp1","exp1_148","Neg C 0 A_1",100,"negative","conflated",,"no_motion","A","leaf","1","path_before_manner",48.0967301855901,15.6688186742463,TRUE,
