"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"exp3","exp3_061","Aff M P E_1",100,"affirmative",,"manner","path","E","chair","1",,51.4266173269929,14.8439175778561,TRUE,
"exp3","exp3_117","Aff M P A_1",100,"affirmative",,"manner","path","A","leaf","1",,47.8643126373128,14.8439175778561,TRUE,
"exp3","exp3_120","Neg P 0 E_1",100,"negative",,"path","no_motion","E","chair","1",,50.0129528676867,14.8439175778561,TRUE,
"exp3","exp3_032","Neg M 0 E_1",100,"negative",,"manner","no_motion","E","chair","1",,44.1567455981324,14.8439175778561,TRUE,
"exp3","exp3_032","Aff M P A_1",100,"affirmative",,"manner","path","A","leaf","1",,44.1567455981324,14.8439175778561,TRUE,
"exp3","exp3_117","Neg M 0 E_1",100,"negative",,"manner","no_motion","E","chair","1",,47.8643126373128,14.8439175778561,TRUE,
"exp3","exp3_079","Aff C M B_1",100,"affirmative",,"conflated","manner","B","car","1",,41.7706581081491,14.8439175778561,TRUE,
"exp3","exp3_120","Aff C C A_1",100,"affirmative",,"conflated","conflated","A","leaf","1",,50.0129528676867,14.8439175778561,TRUE,
"exp3","exp3_117","Aff P M E_1",100,"affirmative",,"path","manner","E","chair","1",,47.8643126373128,14.8439175778561,TRUE,
"exp3","exp3_032","Neg C 0 A_1",100,"negative",,"conflated","no_motion","A","leaf","1",,44.1567455981324,14.8439175778561,TRUE,
"exp3","exp3_080","Aff C M B_1",100,"affirmative",,"conflated","manner","B","car","1",,52.2232967867094,14.8439175778561,TRUE,
"exp3","exp3_105","Aff M C D_1",100,"affirmative",,"manner","conflated","D","plank","1",,49.0979231801719,14.8439175778561,TRUE,
"exp3","exp3_091","Aff M C E_1",100,"affirmative",,"manner","conflated","E","chair","1",,38.7395147104349,14.8439175778561,TRUE,
"exp3","exp3_132","Aff M C E_1",100,"affirmative",,"manner","conflated","E","chair","1",,48.5526112645454,14.8439175778561,TRUE,
"exp3","exp3_132","Aff P C A_1",100,"affirmative",,"path","conflated","A","leaf","1",,48.5526112645454,14.8439175778561,TRUE,
"exp3","exp3_130","Aff P M D_1",100,"affirmative",,"path","manner","D","plank","1",,48.0273754006898,14.8439175778561,TRUE,
"exp3","exp3_027","Aff M P D_1",100,"affirmative",,"manner","path","D","plank","1",,44.5121706203296,14.8439175778561,TRUE,
"exp3","exp3_080","Neg C 0 A_1",100,"negative",,"conflated","no_motion","A","leaf","1",,52.2232967867094,14.8439175778561,TRUE,
"exp3","exp3_101","Aff P M E_1",100,"affirmative",,"path","manner","E","chair","1",,38.8434113597223,14.8439175778561,TRUE,
"exp3","exp3_080","Aff P M E_1",100,"affirmative",,"path","manner","E","chair","1",,52.2232967867094,14.8439175778561,TRUE,
