Response_ID,Trial,Rating
R_3OVXSiIemlX2yjm,Aff M P E_1,100
R_6NMBagXFrvIv8yd,Aff M P A_1,100
R_6r0bzQjvYCMIqP1,Neg P 0 E_1,100
R_31snMagWBHwOM56,Neg M 0 E_1,100
R_31snMagWBHwOM56,Aff M P A_1,100
R_6NMBagXFrvIv8yd,Neg M 0 E_1,100
R_5czmZ8vGPoA6dM3,Aff C M B_1,100
R_6r0bzQjvYCMIqP1,Aff C C A_1,100
R_6NMBagXFrvIv8yd,Aff P M E_1,100
R_31snMagWBHwOM56,Neg C 0 A_1,100
R_5EPUYm5e69X4lBH,Aff C M B_1,100
R_6aqtcwc3u4qdRsZ,Aff M C D_1,100
R_5P75KJlhyE83mV0,Aff M C E_1,100
R_7DlZoZ7yQ2xPRXX,Aff M C E_1,100
R_7DlZoZ7yQ2xPRXX,Aff P C A_1,100
R_7Cv1xirFrw9xo1H,Aff P M D_1,100
R_1ZNvmbi2KXXhWi5,Aff M P D_1,100
R_5EPUYm5e69X4lBH,Neg C 0 A_1,100
R_5wk9zYyYaJfCATf,Aff P M E_1,100
R_5EPUYm5e69X4lBH,Aff P M E_1,100
R_6r0bzQjvYCMIqP1,Aff M C E_1,100
R_5EPUYm5e69X4lBH,Aff M M C_1,100
R_3zcHpdlGXlW2zBP,Aff M M E_1,100
R_5EPUYm5e69X4lBH,Neg M 0 E_1,100
R_3oLchgwvScBiVpi,Aff C M D_1,100
R_1zKuxyhwr1VOo2l,Neg C 0 E_1,100
R_3X1rywkRIa4xMqd,Aff P P D_1,100
R_6aqtcwc3u4qdRsZ,Neg P 0 D_1,100
R_6aqtcwc3u4qdRsZ,Aff P C E_1,100
R_6r0bzQjvYCMIqP1,Aff P C A_1,100
R_1ZNvmbi2KXXhWi5,Aff M M A_1,100
R_315970XbhSK3I3y,Neg C 0 B_1,100
R_7TTNLQH7ZDkpLR7,Neg P 0 A_1,100
R_3oLchgwvScBiVpi,Aff M M E_1,100
R_5rIb2WAuvzLrVJ2,Neg M 0 B_1,100
R_17vWcBTX8aCCAu8,Aff M M B_1,100
R_7Mkt64r8aA2XsfT,Aff C P D_1,100
R_5rIb2WAuvzLrVJ2,Aff M M E_1,100
R_17vWcBTX8aCCAu8,Neg M 0 D_1,100
R_17vWcBTX8aCCAu8,Aff M P E_1,100
R_5rIb2WAuvzLrVJ2,Neg C 0 C_1,100
R_5rIb2WAuvzLrVJ2,Aff C M D_1,100
R_5rIb2WAuvzLrVJ2,Aff M P C_1,100
R_7Mkt64r8aA2XsfT,Aff P P E_1,100
R_7Mkt64r8aA2XsfT,Neg P 0 B_1,100
R_6pVFyn2ARNqtgp5,Aff M C B_1,100
R_6pVFyn2ARNqtgp5,Neg P 0 B_1,100
R_7TFeVcQtoC7RUUi,Aff M P E_1,100
R_6pVFyn2ARNqtgp5,Aff C C C_1,100
R_5PhV5epn0M9DIwc,Neg P 0 A_1,100
R_7TFeVcQtoC7RUUi,Aff P M D_1,100
R_7dtd5EhNYupiil5,Neg P 0 B_1,100
R_7dtd5EhNYupiil5,Aff M C B_1,100
R_7TFeVcQtoC7RUUi,Aff C M A_1,100
R_7Mkt64r8aA2XsfT,Neg M M A_1,100
R_30IUK9hDTOsY5tx,Neg C 0 E_1,100
R_30IUK9hDTOsY5tx,Aff M M B_1,100
R_17vWcBTX8aCCAu8,Aff P M D_1,100
R_5PhV5epn0M9DIwc,Aff M C A_1,100
R_3CAT6bhHT8HIJPO,Aff M P E_1,100
R_3CAT6bhHT8HIJPO,Neg M 0 D_1,100
R_5axrPpJMXkt9hTP,Aff P P D_1,100
R_5PhV5epn0M9DIwc,Aff P P D_1,100
R_3CAT6bhHT8HIJPO,Aff M M B_1,100
R_3CAT6bhHT8HIJPO,Neg C 0 E_1,100
R_7DlZoZ7yQ2xPRXX,Neg P 0 E_1,100
R_5PhV5epn0M9DIwc,Neg M C E_1,100
R_5axrPpJMXkt9hTP,Neg P 0 A_1,100
R_3CAT6bhHT8HIJPO,Aff P M D_1,100
R_6pVFyn2ARNqtgp5,Aff P P E_1,100
R_6pVFyn2ARNqtgp5,Aff C P D_1,100
R_3rX6fgRc9uJ1ubD,Neg P 0 C_1,100
R_3OVXSiIemlX2yjm,Aff M M B_1,100
R_3OVXSiIemlX2yjm,Neg C 0 E_1,100
R_3OVXSiIemlX2yjm,Aff P M D_1,100
R_3CAT6bhHT8HIJPO,Aff C M A_1,100
R_7TTNLQH7ZDkpLR7,Aff P P D_1,100
R_7TTNLQH7ZDkpLR7,Aff M C A_1,100
R_6pVFyn2ARNqtgp5,Aff P C C_1,100
R_3OVXSiIemlX2yjm,Neg M 0 D_1,100
R_5lEzPyCOBazHoJ5,Neg P 0 A_1,100
R_5LuSVkUgwjcl6Di,Aff M M D_1,100
R_7DlZoZ7yQ2xPRXX,Aff C C A_1,100
R_1hbQZFgaFSH9nif,Aff C C E_1,100
R_1hbQZFgaFSH9nif,Aff C P A_1,100
R_35aLxaSkupPTslP,Neg C M E_1,100
R_35aLxaSkupPTslP,Neg P 0 D_1,100
R_35aLxaSkupPTslP,Aff P C E_1,100
R_35aLxaSkupPTslP,Aff C 0 A_1,100
R_1hbQZFgaFSH9nif,Aff P C E_1,100
R_35aLxaSkupPTslP,Aff M C D_1,100
R_1hbQZFgaFSH9nif,Aff M C D_1,100
R_3OdJ06D2YY1hdUK,Aff M M D_1,100
R_315970XbhSK3I3y,Neg C C E_1,100
R_7ReIZCnFGeVCaeN,Aff M M E_1,100
R_7ReIZCnFGeVCaeN,Aff P 0 D_1,100
R_1JRvBxmjRGt0L1r,Aff M M E_1,100
R_1JRvBxmjRGt0L1r,Aff C M D_1,100
R_3ctt3hzfWybTMUr,Aff M C C_1,100
R_3mDlf5r9llXNBEj,Aff P P E_1,100
