"field","value"
"analysis","Baseline Study 1 dissertation-reproduction analysis"
"input_file","data/processed/baseline1_no_gesture.csv"
"documented_recruited_participants","41"
"documented_excluded_participants","1"
"participants_in_supplied_file","40"
"complete_observations","400"
"no_motion_observations_excluded","100"
"model_observations","300"
"scenarios","5"
"family","beta"
"link","logit"
"endpoint_transformation","epsilon = 1e-6"
"polarity_contrasts","sum"
"event_contrasts","sum"
"event_levels","conflated | manner | path"
"model_formula","rating_scaled ~ polarity * event_type + (1 | participant_id) +      (1 | scenario)"
"convergence_code","0"
"positive_definite_hessian","TRUE"
"random_seed","123"
"glmmTMB_version","1.1.14"
"emmeans_version","2.0.3"
"DHARMa_version","0.5.0"
