"contrast","polarity","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"conflated - manner","affirmative",0.472196152736959,0.257758269603192,Inf,-0.207836476842445,1.15222878231636,1.83193405768856,0.267844982724113
"conflated - path","affirmative",-0.14866118730438,0.252848036605061,Inf,-0.815739358961997,0.518416984353237,-0.587946773486651,1
"conflated - none","affirmative",-0.190064015439935,0.269502412004537,Inf,-0.901080714130434,0.520952683250563,-0.705240498688879,1
"manner - path","affirmative",-0.620857340041339,0.26188578007327,Inf,-1.31177940413978,0.070064724057099,-2.3707180277892,0.0887678474930496
"manner - none","affirmative",-0.662260168176894,0.268995695890156,Inf,-1.37194001939304,0.0474196830392489,-2.46197310326976,0.0829050170312928
"path - none","affirmative",-0.0414028281355553,0.265376916939454,Inf,-0.741535409463904,0.658729753192793,-0.156015182529992,1
"conflated - manner","negative",-0.237411608254285,0.242030112366749,Inf,-0.875949312606254,0.401126096097685,-0.980917646703955,1
"conflated - path","negative",-0.322893796708306,0.250128208900224,Inf,-0.982796363141035,0.337008769724422,-1.2909131606068,0.983668956723193
"conflated - none","negative",-0.447441101883846,0.250440394966454,Inf,-1.10816729547648,0.213285091708791,-1.78661713875583,0.443996338360266
"manner - path","negative",-0.0854821884540216,0.246958415207053,Inf,-0.73702202362032,0.566057646712277,-0.3461400105858,1
"manner - none","negative",-0.210029493629561,0.249340034778334,Inf,-0.867852653952447,0.447793666693324,-0.842341639264949,1
"path - none","negative",-0.12454730517554,0.255333659465726,Inf,-0.798183189424426,0.549088579073347,-0.487782556503319,1
