"field","value"
"analysis","Experiment 1 endpoint-aware sensitivity analysis"
"input_file","data/processed/exp1_written_path_manner.csv"
"observations","1260"
"participants","140"
"scenarios","5"
"rating_zero_observations","251"
"rating_100_observations","182"
"family","ordered beta"
"link","logit"
"scenario_treatment","fixed effect (five stimulus scenarios)"
"sentence_reference","conflated"
"event_reference","conflated"
"polarity_reference","affirmative"
"full_model_formula","rating_prop ~ sentence_type * event_type * polarity + scenario +      (1 | participant_id)"
"full_model_convergence_code","0"
"full_model_positive_definite_hessian","TRUE"
"three_way_lrt_p_value","1.683197555713e-50"
"random_seed","123"
"glmmTMB_version","1.1.14"
"emmeans_version","2.0.4"
"DHARMa_version","0.5.0"
