"polarity","sentence_type","event_type","mean_rating","sd_rating","observations","standard_error","ci_95"
"affirmative","conflated","conflated",66,34.1740642398101,61,4.37554055989164,8.57605949738761
"affirmative","conflated","path",24.2459016393443,31.3962076997127,61,4.01987247559638,7.8789500521689
"affirmative","conflated","manner",60.4905660377358,28.7459847641032,53,3.94856467845764,7.73918676977698
"affirmative","conflated","no_motion",11.3770491803279,21.9424732231246,61,2.80944580949999,5.50651378661999
"affirmative","path","conflated",65.344262295082,33.6540662456023,61,4.30896163914191,8.44556481271814
"affirmative","path","path",82.0819672131148,24.9741833913659,61,3.19761652030243,6.26732837979277
"affirmative","path","manner",43.6415094339623,28.4362271242584,53,3.90601619436114,7.65579174094784
"affirmative","path","no_motion",26.3584905660377,32.0906734232038,53,4.40799299890448,8.63966627785277
"affirmative","manner","conflated",80.1803278688525,21.0416319049651,61,2.69410489780821,5.28044559970408
"affirmative","manner","path",31.0754716981132,36.3169006305306,53,4.98850995147819,9.77747950489725
"affirmative","manner","manner",85.6415094339623,18.4725308952995,53,2.53739726133792,4.97329863222232
"affirmative","manner","no_motion",17.1803278688525,29.0875163353178,61,3.72427483657123,7.29957867967961
"negative","conflated","conflated",16.4339622641509,25.7424443238745,53,3.53599666974513,6.93055347270046
"negative","conflated","path",57.1320754716981,36.837500612539,53,5.06001985859853,9.91763892285312
"negative","conflated","manner",26.4590163934426,31.5745539796906,61,4.04270737683238,7.92370645859147
"negative","conflated","no_motion",59.7358490566038,38.609559868089,53,5.30343091729137,10.3947245978911
"negative","path","conflated",25.9056603773585,28.0687782687067,53,3.85554321234026,7.55686469618692
"negative","path","path",16.8490566037736,26.3127610357343,53,3.61433569491556,7.08409796203449
"negative","path","manner",49.327868852459,33.4722379052031,61,4.28568090575382,8.39993457527748
"negative","path","no_motion",55.5573770491803,40.0293744601653,61,5.12523621154511,10.0454629746284
"negative","manner","conflated",19.4590163934426,28.2598500647661,61,3.6183030296641,7.09187393814163
"negative","manner","path",63.7924528301887,34.4318493496524,53,4.72957824446455,9.26997335915052
"negative","manner","manner",18.5901639344262,23.7622789656073,61,3.04244805885144,5.96319819534883
"negative","manner","no_motion",65.9622641509434,33.8071238874925,53,4.64376560266917,9.10178058123157
