"sentence_type","event_type","polarity","observations"
"conflated","conflated","affirmative",61
"path","conflated","affirmative",61
"manner","conflated","affirmative",61
"conflated","path","affirmative",61
"path","path","affirmative",61
"manner","path","affirmative",53
"conflated","manner","affirmative",53
"path","manner","affirmative",53
"manner","manner","affirmative",53
"conflated","conflated","negative",53
"path","conflated","negative",53
"manner","conflated","negative",61
"conflated","path","negative",53
"path","path","negative",53
"manner","path","negative",53
"conflated","manner","negative",61
"path","manner","negative",61
"manner","manner","negative",61
