"polarity","gesture_type","event_type","mean_rating","sd_rating","observations","standard_error","ci_95"
"affirmative","conflated","conflated",81.8955223880597,21.5125997811559,67,2.62818236192339,5.15123742936984
"affirmative","conflated","manner",82.3066666666667,20.6646148356631,75,2.386144187614,4.67684260772344
"affirmative","conflated","no_motion",5.22388059701492,17.6014986410183,67,2.15036530881146,4.21471600527047
"affirmative","conflated","path",71.7761194029851,30.1445109810817,67,3.6827381569513,7.21816678762454
"affirmative","manner","conflated",89.2537313432836,16.9565784888326,67,2.07157577216476,4.06028851344293
"affirmative","manner","manner",89.7733333333333,13.7963698058518,75,1.59306756424963,3.12241242592928
"affirmative","manner","no_motion",4.91044776119403,16.9890618494296,67,2.07554424627972,4.06806672270824
"affirmative","manner","path",88.12,16.8803099753786,75,1.94917030165783,3.82037379124934
"affirmative","path","conflated",83.3283582089552,18.7110306631089,67,2.28591621944581,4.48039579011378
"affirmative","path","manner",78.9466666666666,25.9598928356038,75,2.99759022335394,5.87527683777373
"affirmative","path","no_motion",8.76,20.4786243203506,75,2.36466785279752,4.63474899148315
"affirmative","path","path",81.5373134328358,23.7208055705413,67,2.89795763623698,5.67999696702448
"negative","conflated","conflated",12.4533333333333,21.9583717540734,75,2.53553436863603,4.96964736252662
"negative","conflated","manner",16.4328358208955,26.9529465868773,67,3.29282650828397,6.45393995623659
"negative","conflated","no_motion",77.2666666666667,29.4165486305469,75,3.3967304540952,6.65759169002659
"negative","conflated","path",6.16,13.7634847881455,75,1.58927032948463,3.11496984578987
"negative","manner","conflated",11.6119402985075,24.0686865751109,67,2.94045806526737,5.76329780792404
"negative","manner","manner",8,19.2282935469394,67,2.34910993854952,4.60425547955706
"negative","manner","no_motion",78.6933333333333,26.0353052049926,75,3.00629809370731,5.89234426366633
"negative","manner","path",6.20000000000001,15.4631209045298,75,1.78552740334841,3.49963371056287
"negative","path","conflated",5.13333333333334,12.7006419643381,75,1.46654381139833,2.87442587034073
"negative","path","manner",11.6417910447761,23.3229640330943,67,2.84935355666522,5.58473297106383
"negative","path","no_motion",74.5373134328358,31.9954202964381,67,3.9088627195623,7.6613709303421
"negative","path","path",4.79999999999999,12.2816056701816,75,1.41815766795204,2.779589029186
