"polarity","gesture_type","event_type","observations"
"affirmative","conflated","conflated",67
"negative","conflated","conflated",75
"affirmative","manner","conflated",67
"negative","manner","conflated",67
"affirmative","path","conflated",67
"negative","path","conflated",75
"affirmative","conflated","manner",75
"negative","conflated","manner",67
"affirmative","manner","manner",75
"negative","manner","manner",67
"affirmative","path","manner",75
"negative","path","manner",67
"affirmative","conflated","path",67
"negative","conflated","path",75
"affirmative","manner","path",75
"negative","manner","path",75
"affirmative","path","path",67
"negative","path","path",75
"affirmative","conflated","no_motion",67
"negative","conflated","no_motion",75
"affirmative","manner","no_motion",67
"negative","manner","no_motion",75
"affirmative","path","no_motion",75
"negative","path","no_motion",67
